Pool	ID	Mouse ID	Genotype	Cell type	Experimental Batch
1	16015_378632	1	Wildtype	LSEC	4
1	16015_378636_2	1	Wildtype	LSEC	4
1	16015_378638_2	1	Wildtype	LSEC	1
1	16015_378652	1	Wildtype	LSEC	6
1	16015_378656	1	Wildtype	LSEC	8
1	16015_378634	2	Wildtype	LSEC	4
1	16015_378640	2	Wildtype	LSEC	1
1	16015_378642	2	Wildtype	LSEC	8
1	16015_378644	2	Wildtype	LSEC	9
1	16015_378646	3	Wildtype	LSEC	9
1	16015_378648	3	Wildtype	LSEC	10
1	16015_378650	3	Wildtype	LSEC	6
1	16015_378654	3	Wildtype	LSEC	6
1	16015_378658	3	Wildtype	LSEC	10
2	16016_378661	4	DoubleKO	LSEC	1
2	16016_378663	4	DoubleKO	LSEC	1
2	16016_378665	4	DoubleKO	LSEC	4
2	16016_378671	4	DoubleKO	LSEC	4
2	16016_378687	4	DoubleKO	LSEC	10
2	16016_378673	5	DoubleKO	LSEC	6
2	16016_378675	5	DoubleKO	LSEC	6
2	16016_378679	5	DoubleKO	LSEC	8
2	16016_378683	5	DoubleKO	LSEC	8
2	16016_378685	5	DoubleKO	LSEC	8
2	16016_378667	6	DoubleKO	LSEC	9
2	16016_378669	6	DoubleKO	LSEC	9
2	16016_378677	6	DoubleKO	LSEC	10
2	16016_378681	6	DoubleKO	LSEC	8
3	16017_378690	1	Wildtype	HEP	5
3	16017_378692	1	Wildtype	HEP	2
3	16017_378698	1	Wildtype	HEP	5
3	16017_378704	1	Wildtype	HEP	5
3	16017_378716	1	Wildtype	HEP	11
3	16017_378706	2	Wildtype	HEP	11
3	16017_378708	2	Wildtype	HEP	12
3	16017_378710	2	Wildtype	HEP	7
3	16017_378712	2	Wildtype	HEP	7
3	16017_378714	2	Wildtype	HEP	7
3	16017_378694	3	Wildtype	HEP	12
3	16017_378696	3	Wildtype	HEP	12
3	16017_378700	3	Wildtype	HEP	11
3	16017_378702	3	Wildtype	HEP	9
4	16018_378719	4	DoubleKO	HEP	3
4	16018_378737	4	DoubleKO	HEP	3
4	16018_378739	4	DoubleKO	HEP	3
4	16018_378741	4	DoubleKO	HEP	7
4	16018_378727	5	DoubleKO	HEP	2
4	16018_378729	5	DoubleKO	HEP	2
4	16018_378743	5	DoubleKO	HEP	7
4	16018_378723	6	DoubleKO	HEP	5
4	16018_378725	6	DoubleKO	HEP	5
4	16018_378731	6	DoubleKO	HEP	9
4	16018_378733	6	DoubleKO	HEP	9
4	16018_378745	6	DoubleKO	HEP	7
4	16018_378721	7	DoubleKO	HEP	5
4	16018_378735	7	DoubleKO	HEP	3








